,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRIMULA CHEESE N CHIVES,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-112,,,0,,10.05,,
,,,,,,,,BERNARD MATTHEWS TURKEY HAM,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.49,,,,1.190,,,0.30,,,-411,,,0,,20.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MARS CARAMEL,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.390,,,0.20,,,-123,,,0,,12.58,,
,,,,,,,,PRIMULA CHEESE N HAM,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.99,,,,1.790,,,0.20,,,-61,,,0,,10.05,,
,,,,,,,,PEPERAMI CHICKEN BITES TIKKA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.00,,,,0.800,,,0.20,,,-37,,,0,,20.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,STARBUCKS CARAMEL MACCHIATO,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,2.20,,,,0.980,,,1.22,,,-557,,,0,,55.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,36,,,43,,,,35,,49,,,25,,,48,,,25,,,,261,,,,,395.66,,,,303.35,,,92.31,,,-78549,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,53.92,,,62.27,,,,56.90,,74.84,,,37.88,,,70.69,,,39.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,1-DAIRY CABINET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DELAMERE BANANA MILK,,,,,,,,500ML,,,2,,,,0,,,0,,1,,,6,,6,,,,1,,,,,16,,,,20.64,,,,15.460,,,5.18,,,-1016,,,0,,25.12,,
,,,,,,,,DELAMERE CHOCLATE MILK,,,,,,,,,,,0,,,,1,,,1,,2,,,0,,1,,,,1,,,,,6,,,,7.74,,,,4.800,,,2.94,,,-2638,,,0,,37.98,,
,,,,,,,,E/S 6 FREE RANGE EGGS.,,,,,,,,,,,1,,,,2,,,0,,1,,,0,,1,,,,1,,,,,6,,,,10.74,,,,7.560,,,3.18,,,-1631,,,0,,29.61,,
,,,,,,,,DELAMERE STRAWBERRY MILK,,,,,,,,,,,1,,,,0,,,3,,1,,,0,,0,,,,1,,,,,6,,,,7.74,,,,4.800,,,2.94,,,-1888,,,0,,37.98,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DELAMERE ICED COFFEE MILK,,,,,,,,,,,0,,,,1,,,0,,0,,,3,,1,,,,0,,,,,5,,,,6.45,,,,4.000,,,2.45,,,-1135,,,0,,37.98,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NOMADIC CHOC & HONEYCOMB,,,,,,,,,,,0,,,,0,,,2,,0,,,0,,0,,,,0,,,,,2,,,,2.00,,,,3.100,,,-1.10,,,-41,,,0,,-55.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,STARBUCKS CAPPUCCINO,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.20,,,,1.590,,,0.61,,,-147,,,0,,27.73,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1-DAIRY CABINET,,,,,,,,,,,,,4,,,4,,,,7,,5,,,9,,,9,,,4,,,,42,,,,,57.51,,,,41.31,,,16.20,,,-8496,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,5.66,,,6.16,,,,9.36,,6.95,,,11.61,,,12.11,,,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,3-ZERO RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GRAHAMS WHOLE MILK,,,,,,,,568ml,,,2,,,,4,,,2,,2,,,1,,2,,,,1,,,,,14,,,,12.46,,,,9.660,,,2.80,,,-57,,,0,,22.47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3-ZERO RATE,,,,,,,,,,,,,2,,,4,,,,2,,2,,,1,,,2,,,1,,,,14,,,,,12.46,,,,9.66,,,2.80,,,-57,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,1.78,,,3.56,,,,1.78,,1.78,,,0.89,,,1.78,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-DAIRY CABINET,,,,,,,,,,,,,,,,,,42,,,51,,,,44,,56,,,35,,59,,,30,,,,,317,,,,,465.63,,,,354.32,,111.31,,,,-87102,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,61.36,,,71.99,,,,68.04,,83.57,,,50.38,,84.58,,,45.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4-DAIRY CABINET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,5-PET FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FELIX CHICKEN POUCH,,,,,,,,,,,3,,,,3,,,6,,0,,,0,,0,,,,0,,,,,12,,,,5.56,,,,3.480,,,1.15,,,-160,,,0,,24.89,,
,,,,,,,,FELIX GOODY BAG ORIGINAL,,,,,,,,,,,0,,,,0,,,3,,2,,,0,,0,,,,0,,,,,5,,,,6.95,,,,4.950,,,0.84,,,-210,,,0,,14.53,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CESAR CLASSIC TERRINE CHICKEN & TURKEY,,,,,,,,,,,0,,,,0,,,0,,3,,,0,,0,,,,0,,,,,3,,,,4.47,,,,2.250,,,1.48,,,-462,,,0,,39.60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PEDIGREE DENTASTIX 3PK.,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,1,,,,0,,,,,3,,,,4.17,,,,2.670,,,0.81,,,-101,,,0,,23.17,,
,,,,,,,,PEDIGREE JELLY WITH CHICKEN.,,,,,,,,,,,0,,,,0,,,2,,0,,,0,,0,,,,0,,,,,2,,,,3.38,,,,1.100,,,1.72,,,-424,,,0,,60.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BUTCHER'S CHICKEN IN GRAVY.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,0,,,,,2,,,,2.60,,,,1.800,,,0.37,,,-124,,,0,,16.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS CAT POCKETS,,,,,,,,,,,0,,,,0,,,1,,1,,,0,,0,,,,0,,,,,2,,,,2.38,,,,1.580,,,0.40,,,-66,,,0,,20.34,,
,,,,,,,,WAGG BEEF DINNER ADULT COMPLETE.,,,,,,,,,,,2,,,,0,,,0,,0,,,0,,0,,,,0,,,,,2,,,,4.98,,,,3.780,,,0.37,,,-57,,,0,,8.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FELIX MEATY IN JELLY,,,,,,,,,,,0,,,,0,,,0,,0,,,2,,0,,,,0,,,,,2,,,,9.50,,,,8.700,,,-0.78,,,-44,,,0,,-9.89,,
,,,,,,,,WEBBOX CHUB ROLL LAMB,,,,,,,,,,,0,,,,0,,,0,,2,,,0,,0,,,,0,,,,,2,,,,1.98,,,,1.180,,,0.47,,,-70,,,0,,28.48,,
,,,,,,,,PURINA GOURMET,,,,,,,,,,,1,,,,0,,,0,,0,,,1,,0,,,,0,,,,,2,,,,9.75,,,,9.700,,,-1.58,,,-51,,,0,,-19.38,,
,,,,,,,,ES CHUNKS IN GRAVY,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,0,,,,,2,,,,3.58,,,,2.780,,,0.20,,,-32,,,0,,6.82,,
,,,,,,,,BRANDY ORIGINAL TRADITIONAL LOAF,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.090,,,0.74,,,-127,,,0,,89.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MUNCH CRUNCH MEATY MIX,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.59,,,,1.190,,,0.14,,,-10,,,0,,10.19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACKS DOG BEEF,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.75,,,,1.350,,,0.11,,,-2,,,0,,7.43,,
,,,,,,,,WHISKAS WITH CHICKEN 300G.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,2.79,,,,2.290,,,0.04,,,-79,,,0,,1.51,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BAKERS MEATY MEALS BEEF,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,4.15,,,,3.750,,,-0.29,,,-44,,,0,,-8.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BRANDY BEEF TRADITIONAL LOAF,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.790,,,0.04,,,-141,,,0,,4.24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PEDIGREE POULTRY & RICE PUPPY.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.79,,,,0.530,,,0.96,,,-354,,,0,,64.34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CHICKEN BONE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,1.59,,,,1.190,,,0.14,,,-3,,,0,,10.19,,
,,,,,,,,WINALOT 12PK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,4.49,,,,4.090,,,-0.35,,,-41,,,0,,-9.31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,7,,,3,,,,17,,8,,,4,,,8,,,1,,,,48,,,,,79.43,,,,59.24,,,6.95,,,-2602,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,11.86,,,1.39,,,,22.43,,10.42,,,16.14,,,15.44,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,1-DOG FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BUTCHERS TRIPE,,,,,,,,,,,0,,,,6,,,0,,6,,,4,,4,,,,2,,,,,22,,,,28.60,,,,19.800,,,4.03,,,-288,,,0,,16.92,,
,,,,,,,,BUTCHERS CHICKEN & TRIPE TRIPLE LOAF,,,,,,,,,,,0,,,,1,,,2,,0,,,0,,0,,,,0,,,,,3,,,,3.90,,,,2.700,,,0.55,,,-229,,,0,,16.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WEBBOX CHUB ROLL DUCK.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,0.99,,,,0.590,,,0.24,,,-152,,,0,,28.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1-DOG FOOD,,,,,,,,,,,,,0,,,7,,,,3,,6,,,4,,,4,,,2,,,,26,,,,,33.49,,,,23.09,,,4.82,,,-669,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,9.10,,,,3.59,,7.80,,,5.20,,,5.20,,,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,2-CAT FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DREAMIES CHEESE.,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,2.19,,,,1.990,,,-0.17,,,-128,,,0,,-9.04,,
,,,,,,,,FELIX GOODY BAG SEASIDE,,,,,,,,60g,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.39,,,,0.990,,,0.17,,,-195,,,0,,14.53,,
,,,,,,,,FELIX ORIGINAL FARM IN JELLY 12PK,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,3.99,,,,3.590,,,-0.27,,,-94,,,0,,-7.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DREAMIES CHICKEN.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.19,,,,1.890,,,-0.07,,,-184,,,0,,-3.56,,
,,,,,,,,GOCAT CHICKEN AND DUCK.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,1.75,,,,1.350,,,0.11,,,-88,,,0,,7.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WHISKAS POULTRY IN JELLY,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,5.59,,,,5.090,,,-0.43,,,-53,,,0,,-9.27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2-CAT FOOD,,,,,,,,,,,,,1,,,0,,,,2,,1,,,1,,,0,,,1,,,,6,,,,,17.10,,,,14.90,,,-0.65,,,-742,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,5.59,,,0.00,,,,3.14,,2.19,,,3.99,,,0.00,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,3-PET SUPPLIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,THOMAS CAT LITTER,,,,,,,,8 LITRE,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,5.99,,,,4.490,,,0.50,,,-24,,,0,,10.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3-PET SUPPLIES,,,,,,,,,,,,,0,,,0,,,,0,,0,,,1,,,0,,,0,,,,1,,,,,5.99,,,,4.49,,,0.50,,,-24,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,0.00,,,,0.00,,0.00,,,5.99,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-PET FOOD,,,,,,,,,,,,,,,,,,8,,,10,,,,22,,15,,,10,,12,,,4,,,,,81,,,,,136.01,,,,101.72,,11.62,,,,-4037,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,17.45,,,10.49,,,,29.16,,20.41,,,31.32,,20.64,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-PET FOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,6-BABY GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PAMPERS SENSITIVE BABY WIPES.,,,,,,,,,,,3,,,,0,,,3,,0,,,0,,0,,,,0,,,,,6,,,,7.74,,,,5.340,,,1.11,,,-601,,,0,,17.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PAMPERS SIZE 5,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,6.49,,,,6.090,,,-0.68,,,-53,,,0,,-12.60,,
,,,,,,,,PAMPERS SIZE 6.,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,6.49,,,,6.090,,,-0.68,,,-101,,,0,,-12.60,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,3,,,0,,,,4,,1,,,0,,,0,,,0,,,,8,,,,,20.72,,,,17.52,,,-0.25,,,-755,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,3.87,,,0.00,,,,10.36,,6.49,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-BABY GOODS,,,,,,,,,,,,,,,,,,3,,,0,,,,4,,1,,,0,,0,,,0,,,,,8,,,,,20.72,,,,17.52,,-0.25,,,,-755,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,3.87,,,0.00,,,,10.36,,6.49,,,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-BABY GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,7-CONFECTIONERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EMERGE SPORT ORANGE,,,,,,,,,,,8,,,,5,,,7,,14,,,10,,8,,,,3,,,,,55,,,,38.50,,,,16.500,,,15.58,,,-4908,,,0,,48.57,,
,,,,,,,,TAKIS BLUE HEAT,,,,,,,,,,,3,,,,1,,,10,,4,,,4,,13,,,,3,,,,,38,,,,47.50,,,,32.300,,,7.28,,,-745,,,0,,18.40,,
,,,,,,,,COCA COLA ORIGINAL 500ML,,,,,,,,,,,3,,,,3,,,2,,9,,,4,,7,,,,2,,,,,30,,,,53.70,,,,41.700,,,3.05,,,-1256,,,0,,6.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,KINDER BUENO WHITE,,,,,,,,,,,0,,,,5,,,7,,5,,,5,,6,,,,0,,,,,28,,,,24.92,,,,13.720,,,7.05,,,-240,,,0,,33.93,,
,,,,,,,,DORITOS CHILLI HEATWAVE 70G,,,,,,,,,,,1,,,,2,,,3,,5,,,6,,5,,,,4,,,,,26,,,,35.10,,,,24.700,,,4.55,,,-489,,,0,,15.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78012,,,,,,,,WRIGLEY EXTRA COOL BREEZE,,,,,,,,10PCE,,,1,,,,3,,,6,,5,,,8,,1,,,,1,,,,,25,,,,21.25,,,,8.800,,,8.91,,,-9380,,,0,,50.31,,
