Stk Code,,,,,,,,Product Description,,,,,,,,,,,SUN,,,,MON,,,TUE,,WED,,,THU,,,FRI,,,,SAT,,,Total,,,,,Value,,,,Cost,,,Profit,,,In Stk,,,On Ord,,,%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,1-GROCERY NON VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,STERLING LEAF WRAPPED 10PK,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,1,,,,,2,,,,14.30,,,,13.500,,,-1.58,,,-135,,,0,,-13.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SIKE STRAWBERRY BLAST BAR,,,,,,,,,,,0,,,,0,,,0,,2,,,0,,0,,,,0,,,,,2,,,,10.00,,,,11.180,,,-2.85,,,-48,,,0,,-34.16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,LOST MARY BLUEBERRYYY,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,1,,,,,2,,,,11.98,,,,11.180,,,-1.20,,,-17,,,0,,-11.99,,
,,,,,,,,SKE BAR LEMON & LIME,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,5.99,,,,5.590,,,-0.60,,,-180,,,0,,-11.99,,
,,,,,,,,IVG FIZZY,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,12.99,,,,12.590,,,-1.77,,,-7,,,0,,-16.30,,
,,,,,,,,PIXL DUO 12 PINK RAZZ,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,7.99,,,,7.590,,,-0.93,,,-5,,,0,,-13.99,,
,,,,,,,,KENSITAS CLUB 50G,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,39.99,,,,16.490,,,16.84,,,-529,,,0,,50.52,,
,,,,,,,,SKE BAR WATERMELON ICE,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,5.99,,,,5.590,,,-0.60,,,-33,,,0,,-11.99,,
,,,,,,,,LOST MARY STRAWBERRY ICE PODS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,5.99,,,,2.700,,,2.29,,,-23,,,0,,45.91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ROTHMANS BLUE SK,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,14.99,,,,10.900,,,1.59,,,-182,,,0,,12.74,,
,,,,,,,,SUPAFLAME GAS.,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,1.89,,,,1.290,,,0.29,,,-440,,,0,,18.10,,
,,,,,,,,HIGO BLUEBERRY SOUR RASPBERRY REFIL,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,6.99,,,,7.590,,,-1.77,,,-12,,,0,,-30.30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,SWAN LIGHTER FLUID.,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,2.99,,,,2.000,,,0.49,,,-70,,,0,,19.81,,
,,,,,,,,BERKELEY GREEN SUPERKINGS,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,17.40,,,,12.900,,,1.60,,,-249,,,0,,11.03,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CRYSTAL HUBBLE,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,5.99,,,,5.590,,,-0.60,,,-3,,,0,,-11.99,,
,,,,,,,,IVG SAVR STRAWBERRY WATERMELON,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,7.99,,,,7.590,,,-0.93,,,-3,,,0,,-13.99,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,IVG SAVR LEMON LIME LIQUID,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,3.99,,,,2.100,,,1.23,,,-5,,,0,,36.84,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CHERRY ICE POD,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,2.99,,,,2.590,,,-0.10,,,-60,,,0,,-3.95,,
,,,,,,,,PIXL DUO BLUE EDITION,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,11.99,,,,5.200,,,4.79,,,-28,,,0,,47.96,,
,,,,,,,,RIZLA,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,1.99,,,,1.390,,,0.27,,,-1525,,,0,,16.18,,
,,,,,,,,GOLDEN VIRGINIA 50G,,,,,,,,,,,0,,,,0,,,0,,1,,,0,,0,,,,0,,,,,1,,,,46.79,,,,21.000,,,17.99,,,-281,,,0,,46.14,,
,,,,,,,,MAYFAIR SKY BLUE KS,,,,,,,,,,,0,,,,0,,,0,,0,,,1,,0,,,,0,,,,,1,,,,16.50,,,,8.980,,,4.77,,,-450,,,0,,34.67,,
,,,,,,,,STERLING RED KS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,16.25,,,,86.220,,,-72.68,,,-291,,,0,,-99.99,,
,,,,,,,,MAYFAIR BLUE SK,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,16.50,,,,11.090,,,2.66,,,-277,,,0,,19.35,,
,,,,,,,,CRYSTAL CHERRY ICE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,0,,,,,1,,,,5.99,,,,5.590,,,-0.60,,,-107,,,0,,-11.99,,
,,,,,,,,PIXL DUO POD PINEAPPLE,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,7.99,,,,7.590,,,-0.93,,,-10,,,0,,-13.99,,
,,,,,,,,GOLD LEAF 30G,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,23.90,,,,16.000,,,3.92,,,-727,,,0,,19.67,,
,,,,,,,,HIGO BB FIZZY CHERRY COLA POD,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,6.99,,,,6.590,,,-0.77,,,-1,,,0,,-13.13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HIGO LEMON N LIME,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,10.99,,,,10.790,,,-1.63,,,-10,,,0,,-17.82,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,32,,,42,,,,37,,29,,,39,,,51,,,38,,,,268,,,,,"2,854.57",,,,"1,952.01",,,426.80,,,-67249,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,285.61,,,477.72,,,,400.59,,354.76,,,410.20,,,489.21,,,436.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,1-CIGARETTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,REGAL SIGNATURE 30G,,,,,,,,,,,3,,,,0,,,1,,2,,,0,,2,,,,2,,,,,10,,,,215.00,,,,142.920,,,36.25,,,-1010,,,0,,20.23,,
,,,,,,,,20 PLAYERS SK,,,,,,,,20S,,,0,,,,2,,,0,,0,,,1,,3,,,,4,,,,,10,,,,146.90,,,,77.830,,,44.59,,,-18426,,,0,,36.42,,
,,,,,,,,20 JPS PLAYERS KS,,,,,,,,,,,2,,,,3,,,1,,1,,,0,,1,,,,0,,,,,8,,,,117.52,,,,62.260,,,35.67,,,-16627,,,0,,36.42,,
,,,,,,,,RIZLA MENTHOL CHILL,,,,,,,,,,,2,,,,2,,,0,,1,,,0,,1,,,,1,,,,,7,,,,4.13,,,,1.680,,,1.76,,,-2394,,,0,,51.19,,
,,,,,,,,SOVEREIGN KS,,,,,,,,,,,0,,,,0,,,1,,0,,,1,,2,,,,0,,,,,4,,,,60.60,,,,31.920,,,18.58,,,-401,,,0,,36.80,,
,,,,,,,,REGAL SIGNATURE SK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,1,,,,,2,,,,27.38,,,,18.980,,,3.84,,,-1505,,,0,,16.82,,
,,,,,,,,REGAL SIGNATURE SK,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,1,,,,0,,,,,1,,,,13.69,,,,9.490,,,1.92,,,-492,,,0,,16.82,,
,,,,,,,,JPS PLAYERS BRIGHT BLUE 20,,,,,,,,,,,0,,,,1,,,0,,0,,,0,,0,,,,0,,,,,1,,,,14.69,,,,7.830,,,4.41,,,-1125,,,0,,36.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,20 L&B KS SILVER,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,0,,,,0,,,,,1,,,,16.19,,,,8.520,,,4.98,,,-1316,,,0,,36.87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1-CIGARETTES,,,,,,,,,,,,,7,,,8,,,,4,,4,,,2,,,11,,,8,,,,44,,,,,616.10,,,,361.43,,,151.99,,,-43296,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,95.06,,,89.32,,,,67.53,,58.28,,,29.84,,,160.03,,,116.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,3-TOBACCO SUPPLIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,RIZLA GREEN,,,,,,,,,,,0,,,,0,,,1,,1,,,0,,2,,,,0,,,,,4,,,,2.00,,,,1.670,,,0.00,,,-1784,,,0,,-0.08,,
,,,,,,,,RIZLA FRESH MINT,,,,,,,,,,,0,,,,2,,,0,,0,,,0,,0,,,,0,,,,,2,,,,1.18,,,,0.480,,,0.50,,,-883,,,0,,51.19,,
,,,,,,,,SWAN EXTRA SLIM FILTERS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,1,,,,,1,,,,0.99,,,,0.590,,,0.24,,,-956,,,0,,28.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3-TOBACCO SUPPLIES,,,,,,,,,,,,,0,,,2,,,,1,,1,,,0,,,2,,,1,,,,7,,,,,4.17,,,,2.74,,,0.74,,,-3623,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sub Department Value,,,,,,,,,,,,,0.00,,,1.18,,,,0.50,,0.50,,,0.00,,,1.00,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8-CIGS/TABBACO,,,,,,,,,,,,,,,,,,39,,,52,,,,42,,34,,,41,,64,,,47,,,,,319,,,,,"3,474.84",,,,"2,316.18",,579.52,,,,-114168,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Department Value,,,,,,,,,,,,,,,,,380.67,,,568.22,,,,468.62,,413.54,,,440.04,,650.24,,,553.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8-CIGS/TABBACO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dept:,,,,9-ALCOHOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sub Dept:,,,,,,,0-NO SUB DEPARTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BUDWEISER 330ML,,,,,,,,,,,11,,,,16,,,19,,0,,,7,,26,,,,8,,,,,87,,,,87.00,,,,52.200,,,20.30,,,-1942,,,0,,28.00,,
,,,,,,,,BUCKFAST TONIC WINE 35CL,,,,,,,,,,,11,,,,3,,,3,,8,,,3,,13,,,,28,,,,,69,,,,413.31,,,,250.060,,,94.37,,,-6665,,,0,,27.40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TENNENTS PINT,,,,,,,,,,,16,,,,0,,,0,,0,,,1,,23,,,,6,,,,,46,,,,73.12,,,,64.400,,,-3.47,,,-1393,,,0,,-5.69,,
,,,,,,,,MAGNUM TONIC WINE 200ML,,,,,,,,,,,6,,,,6,,,8,,3,,,6,,4,,,,6,,,,,39,,,,155.61,,,,84.470,,,45.20,,,-7546,,,0,,34.86,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ECHO FALLS BLUE RASPBERRY,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,0,,,,31,,,,,31,,,,247.69,,,,235.290,,,-28.88,,,-64,,,0,,-13.99,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,XF PURPLE CHERRY,,,,,,,,,,,0,,,,3,,,0,,7,,,8,,1,,,,3,,,,,22,,,,65.78,,,,56.980,,,-2.16,,,-53,,,0,,-3.95,,
,,,,,,,,GLENS VODKA 20CL.,,,,,,,,,,,2,,,,4,,,1,,3,,,3,,3,,,,3,,,,,19,,,,113.81,,,,106.210,,,-11.37,,,-1045,,,0,,-11.99,,
,,,,,,,,BUZZBALL BERRY CHERRY,,,,,,,,,,,0,,,,1,,,2,,2,,,4,,5,,,,4,,,,,18,,,,71.82,,,,64.620,,,-4.77,,,-166,,,0,,-7.97,,
,,,,,,,,PERONI 620ML,,,,,,,,,,,4,,,,0,,,1,,0,,,0,,8,,,,4,,,,,17,,,,46.75,,,,31.450,,,7.51,,,-2683,,,0,,19.27,,
,,,,,,,,GLENS VODKA 35CL.,,,,,,,,,,,2,,,,3,,,3,,2,,,2,,3,,,,1,,,,,16,,,,156.64,,,,150.240,,,-19.71,,,-538,,,0,,-15.10,,
,,,,,,,,STELLA ARTOIS 660ML,,,,,,,,,,,4,,,,0,,,0,,3,,,0,,3,,,,3,,,,,13,,,,35.75,,,,20.800,,,8.99,,,-1094,,,0,,30.18,,
,,,,,,,,AU JUICY PEACH CANS,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,3,,,,8,,,,,11,,,,31.79,,,,27.390,,,-0.90,,,-134,,,0,,-3.39,,
,,,,,,,,BULMERS ORIGINAL 500ML.,,,,,,,,,,,2,,,,1,,,0,,0,,,0,,3,,,,4,,,,,10,,,,27.50,,,,15.900,,,7.02,,,-238,,,0,,30.62,,
,,,,,,,,FIREBALL MINATURE,,,,,,,,,,,0,,,,0,,,1,,0,,,0,,6,,,,3,,,,,10,,,,21.90,,,,13.500,,,4.75,,,-1976,,,0,,26.03,,
,,,,,,,,STRONGBOW ORIGINAL.,,,,,,,,,,,0,,,,0,,,0,,3,,,0,,2,,,,4,,,,,9,,,,53.01,,,,17.980,,,26.19,,,-3570,,,0,,59.29,,
,,,,,,,,BUZZBALLZ STRAWBERRY RITA,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,0,,,,8,,,,,9,,,,35.91,,,,32.310,,,-2.39,,,-589,,,0,,-7.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,TENNENTS 12 PACK,,,,,,,,440ml,,,3,,,,1,,,1,,2,,,1,,0,,,,1,,,,,9,,,,125.91,,,,79.110,,,25.82,,,-5064,,,0,,24.60,,
,,,,,,,,DRAGON SOOP RED KOLA,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,6,,,,2,,,,,9,,,,31.41,,,,27.810,,,-1.64,,,-253,,,0,,-6.25,,
,,,,,,,,FOUR LOKO BLUE,,,,,,,,,,,3,,,,0,,,0,,0,,,0,,3,,,,3,,,,,9,,,,34.11,,,,28.710,,,-0.29,,,-275,,,0,,-1.00,,
,,,,,,,,FOUR LOKO WHITE,,,,,,,,,,,3,,,,1,,,0,,0,,,1,,0,,,,4,,,,,9,,,,34.11,,,,28.710,,,-0.29,,,-809,,,0,,-1.00,,
,,,,,,,,FOUR LOKO DARK BERRY BURST,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,5,,,,3,,,,,8,,,,30.32,,,,24.720,,,0.55,,,-1199,,,0,,2.16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BREEZER ORANGE,,,,,,,,,,,2,,,,0,,,0,,0,,,0,,4,,,,2,,,,,8,,,,15.92,,,,20.720,,,-7.45,,,-226,,,0,,-56.18,,
,,,,,,,,AU VODKA CHERRYADE,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,2,,,,4,,,,,7,,,,20.23,,,,16.730,,,0.13,,,-774,,,0,,0.76,,
,,,,,,,,MATEUS ROSE,,,,,,,,,,,4,,,,1,,,0,,0,,,1,,1,,,,0,,,,,7,,,,55.93,,,,53.130,,,-6.52,,,-108,,,0,,-13.99,,
,,,,,,,,PERONI 4PK BOTTLES,,,,,,,,,,,4,,,,0,,,0,,0,,,1,,0,,,,2,,,,,7,,,,48.93,,,,27.990,,,12.79,,,-394,,,0,,31.36,,
,,,,,,,,CAPTAIN MORGAN PEPSI,,,,,,,,,,,0,,,,0,,,0,,3,,,0,,2,,,,2,,,,,7,,,,15.75,,,,12.950,,,0.18,,,-15,,,0,,1.33,,
,,,,,,,,BUDWEISER 20 PK BTLS,,,,,,,,,,,1,,,,0,,,1,,1,,,0,,1,,,,3,,,,,7,,,,132.93,,,,83.930,,,26.85,,,-1232,,,0,,24.23,,
,,,,,,,,GUINNESS 4PK.,,,,,,,,,,,2,,,,0,,,1,,0,,,2,,1,,,,1,,,,,7,,,,46.83,,,,44.030,,,-5.01,,,-850,,,0,,-12.83,,
,,,,,,,,STELLA  ARTOIS PINTS 4PK,,,,,,,,,,,1,,,,1,,,0,,2,,,0,,1,,,,2,,,,,7,,,,48.93,,,,51.730,,,-10.96,,,-350,,,0,,-26.87,,
,,,,,,,,WHYTE & MACKAY 20CL,,,,,,,,,,,0,,,,2,,,2,,2,,,0,,0,,,,1,,,,,7,,,,47.53,,,,44.730,,,-5.12,,,-173,,,0,,-12.93,,
,,,,,,,,STRONGBOW PINTS 4PK.,,,,,,,,,,,1,,,,1,,,0,,0,,,1,,1,,,,3,,,,,7,,,,48.65,,,,45.850,,,-5.31,,,-205,,,0,,-13.09,,
,,,,,,,,KNIGHTS CIDER 500ML,,,,,,,,,,,0,,,,0,,,2,,2,,,1,,1,,,,1,,,,,7,,,,19.53,,,,5.830,,,10.44,,,-613,,,0,,64.17,,
,,,,,,,,AU VODKA PINEAPPLE CRUSH CAN,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,5,,,,,7,,,,20.23,,,,16.030,,,0.83,,,-728,,,0,,4.91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JD COCA COLA CAN,,,,,,,,,,,1,,,,1,,,0,,1,,,2,,1,,,,1,,,,,7,,,,14.59,,,,15.330,,,-3.17,,,-24,,,0,,-26.09,,
,,,,,,,,BUD PINTS 4PK,,,,,,,,,,,2,,,,1,,,2,,0,,,0,,2,,,,0,,,,,7,,,,48.93,,,,46.130,,,-5.36,,,-438,,,0,,-13.13,,
,,,,,,,,SMIIRNOFF,,,,,,,,,,,1,,,,0,,,1,,0,,,1,,2,,,,2,,,,,7,,,,76.23,,,,73.430,,,-9.91,,,-91,,,0,,-15.59,,
,,,,,,,,BUZZBALLZ CHOC TEASE,,,,,,,,,,,1,,,,0,,,2,,0,,,0,,0,,,,3,,,,,6,,,,23.94,,,,21.540,,,-1.59,,,-471,,,0,,-7.97,,
,,,,,,,,BREEZER WATERMELOM,,,,,,,,,,,4,,,,0,,,0,,0,,,0,,0,,,,2,,,,,6,,,,11.94,,,,15.540,,,-5.59,,,-337,,,0,,-56.18,,
,,,,,,,,MAGNERS ORIGINAL 4PK.,,,,,,,,,,,0,,,,1,,,1,,0,,,2,,0,,,,2,,,,,6,,,,35.10,,,,32.700,,,-3.45,,,-449,,,0,,-11.79,,
,,,,,,,,XF SOUR APPLE,,,,,,,,,,,3,,,,0,,,0,,0,,,0,,3,,,,0,,,,,6,,,,17.94,,,,15.540,,,-0.59,,,-13,,,0,,-3.95,,
,,,,,,,,DRAGON SOOP DARK FRUIT,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,4,,,,,6,,,,20.94,,,,18.540,,,-1.09,,,-259,,,0,,-6.25,,
,,,,,,,,STELLA ARTOIS 440ML 4PK,,,,,,,,,,,0,,,,2,,,0,,2,,,0,,0,,,,2,,,,,6,,,,38.94,,,,36.540,,,-4.09,,,-73,,,0,,-12.60,,
,,,,,,,,WKD BLUE,,,,,,,,,,,0,,,,0,,,2,,3,,,0,,0,,,,1,,,,,6,,,,19.74,,,,17.340,,,-0.89,,,-94,,,0,,-5.41,,
,,,,,,,,FOUR LOKO TROPICAL,,,,,,,,,,,0,,,,0,,,0,,0,,,0,,2,,,,4,,,,,6,,,,22.74,,,,19.140,,,-0.19,,,-277,,,0,,-1.00,,
,,,,,,,,KRONENBOURG 1664 PINTS 4PK,,,,,,,,,,,0,,,,1,,,0,,1,,,1,,1,,,,1,,,,,5,,,,38.75,,,,36.750,,,-4.46,,,-71,,,0,,-13.81,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,GREY GOOSE STRAWBERRY & LEMONGRASS,,,,,,,,,,,1,,,,0,,,0,,0,,,2,,1,,,,1,,,,,5,,,,12.95,,,,12.450,,,-1.66,,,-343,,,0,,-15.37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JACK DANIELS 35CL,,,,,,,,,,,2,,,,3,,,0,,0,,,0,,0,,,,0,,,,,5,,,,71.45,,,,69.450,,,-9.91,,,-53,,,0,,-16.64,,
,,,,,,,,TENNENTS LAGER 4 X 500ML CANS,,,,,,,,,,,2,,,,0,,,0,,0,,,2,,0,,,,1,,,,,5,,,,30.00,,,,28.000,,,-3.00,,,-406,,,0,,-12.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DRAGON SOOP RASP,,,,,,,,,,,0,,,,0,,,0,,0,,,3,,0,,,,2,,,,,5,,,,17.45,,,,15.450,,,-0.91,,,-200,,,0,,-6.25,,
,,,,,,,,SOOPA HOOCH LEMON,,,,,,,,,,,0,,,,0,,,0,,0,,,3,,2,,,,0,,,,,5,,,,14.95,,,,12.950,,,-0.49,,,-77,,,0,,-3.95,,
,,,,,,,,AU VODKA BLACK GRAPE SODA CAN,,,,,,,,,,,2,,,,0,,,0,,0,,,1,,1,,,,1,,,,,5,,,,14.45,,,,11.450,,,0.59,,,-1191,,,0,,4.91,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,WHYTE & MACKAY 35CL.,,,,,,,,,,,1,,,,0,,,0,,0,,,0,,1,,,,3,,,,,5,,,,56.45,,,,54.450,,,-7.41,,,-53,,,0,,-15.75,,
,,,,,,,,DS APPLE & BLACKCURRANT,,,,,,,,,,,0,,,,0,,,0,,0,,,2,,1,,,,2,,,,,5,,,,17.45,,,,15.450,,,-0.91,,,-73,,,0,,-6.25,,
